id,comp_type,fragility_id_regex,ds,max_ds,crew_size
1,structural,B10[012345689]\w+,1,3,4
2,structural,B10[012345689]\w+,2,3,6
3,structural,B10[012345689]\w+,3,3,6
3.01,structural,B1071\.0[0124]\w+,1,3,4
3.02,structural,B1071\.0[0124]\w+,2,3,6
3.03,structural,B1071\.0[0124]\w+,3,3,6
3.04,structural,B1071\.2[01]\w+,1,3,4
3.05,structural,B1071\.2[01]\w+,2,3,6
3.06,structural,B1071\.2[01]\w+,3,3,6
3.07,structural,B1071\.3\w+,1,5,4
3.08,structural,B1071\.3\w+,2,5,4
3.09,structural,B1071\.3\w+,3,5,6
3.1,structural,B1071\.3\w+,4,5,6
3.11,structural,B1071\.3\w+,5,5,6
3.12,structural,B1071\.[02]31,1,1,6
4,stairs,C20\w+,1,3,2
5,stairs,C20\w+,2,3,3
6,stairs,C20\w+,3,3,4
7,elevators,D10\w+,1,1,2
8,HVAC equipment,D30[356]\w+,1,1,3
9,electrical equipment,D50\w+,1,1,3
10,piping,D20\w+,1,2,3
11,piping,D20\w+,2,2,5
12,HVAC distribution,D304\w+,1,2,3
13,HVAC distribution,D304\w+,2,2,5
14,fire distribution,D40\w+,1,2,3
15,fire distribution,D40\w+,2,2,5
16,ceiling tiles,C3032\.\w+,1,3,1
17,ceiling tiles,C3032\.\w+,2,3,3
18,ceiling tiles,C3032\.\w+,3,3,7
19,lighting,C3034\.\w+,1,3,2
20,lighting,C3034\.\w+,2,3,3
21,lighting,C3034\.\w+,3,3,4
22,partitions,C10\w+,1,3,2
23,partitions,C10\w+,2,3,5
24,partitions,C10\w+,3,3,11
25,wall finishes,C301\w+,1,1,3
26,floor finishes,C302\w+,1,1,5
27,cladding,B20[023456789]\w+,1,2,5
28,cladding,B20[023456789]\w+,2,2,5
28.1,cladding,B2011\.20\w+,1,2,5
28.2,cladding,B2011\.20\w+,2,2,5
28.3,Exterior,B2011\.(21|[0134][01246])\w+,1,3,4
28.4,Exterior,B2011\.(21|[0134][01246])\w+,2,3,6
28.5,Exterior,B2011\.(21|[0134][01246])\w+,3,3,6
28.6,Exterior,B2011\.541,1,1,6
28.7,Exterior,B2011\.[12]31,1,1,6
29,roofing,B30\w+,1,1,5
30,specialty equipment,E10\w+,1,1,3
31,contents,E20\w+,1,1,3
32,storage racks,F1012\.\w+,1,1,3
33,residual drift fragility,B11\w+,1,1,0
